car,1395
nan,1315
get,737
bmw,709
like,702
one,611
would,584
audi,536
think,526
go,489
well,456
new,445
drive,437
year,421
look,411
make,405
good,400
dont,390
im,336
time,329
dealer,328
even,327
price,318
much,316
know,301
acura,288
really,288
want,270
still,266
see,260
take,259
use,257
buy,250
seem,244
people,244
engine,233
say,232
thing,230
could,230
honda,227
also,225
model,217
come,217
lease,207
mile,207
3,206
many,201
sport,198
back,194
way,193
give,177
need,176
volkswagen,173
big,170
s4,169
nice,168
old,166
right,165
tchrysler,165
change,165
ive,162
lot,162
issue,157
test,156
brand,156
thats,156
find,154
doesnt,153
great,152
since,150
sure,149
first,149
never,146
low,141
day,140
tire,139
high,138
sell,137
long,137
probably,137
least,136
option,136
base,134
service,133
something,131
last,131
cost,131
awd,130
performance,127
may,127
luxury,126
agree,126
toyotad,126
maybe,125
vehicle,125
id,125
start,124
point,124
interior,123
u,123
work,122
money,122
less,121
around,121
guess,121
might,120
cant,120
seat,120
sedan,119
feel,118
didnt,118
oil,117
pay,117
always,114
package,114
level,113
problem,113
infiniti,112
pretty,112
series,112
keep,111
month,111
2,110
hyundai,110
5,110
actually,110
though,109
part,109
standard,107
different,106
cadillac,105
bit,105
power,105
far,103
4,103
deal,102
current,102
tl,102
two,102
every,102
sale,100
hp,100
ford,100
mean,98
reason,98
yes,97
order,96
small,96
toyota,95
love,95
put,95
course,95
tell,95
number,93
best,92
next,92
couple,91
today,91
sound,88
wife,88
transmission,87
close,87
another,87
road,87
isnt,87
mark,86
call,86
warranty,86
suspension,86
add,86
interest,85
consider,85
offer,83
market,82
build,81
end,81
premium,80
wheel,80
real,80
volvo,80
msrp,80
however,79
run,79
dealership,79
either,78
cheap,77
enough,77
ago,77
read,77
track,77
quite,77
try,77
yet,76
mpg,75
experience,75
class,75
talk,75
manual,75
almost,73
let,73
v6,72
company,72
ct,71
bad,71
post,71
top,71
turbo,70
value,70
20,70
rwd,69
true,69
speed,68
little,68
mazda,68
etc,68
include,67
move,67
line,67
happen,67
rear,66
difference,65
guy,65
kia,65
buyer,65
without,64
anything,64
second,64
lexus,64
perhaps,64
system,64
subaru,63
german,63
